timestamp,price,amount,side
1780952847.872,63687.26,9e-05,sell
1780952847.872,63687.25,0.09207,sell
1780952847.872,63686.45,0.01695,sell
1780952847.912,63686.47,0.0125,buy
1780952847.921,63686.46,0.00138,sell
1780952847.923,63686.47,0.01119,buy
1780952847.924,63686.47,0.1645,buy
1780952847.934,63686.46,0.00884,sell
1780952847.946,63686.46,0.05011,sell
1780952847.946,63686.46,0.00158,sell
1780952847.946,63686.46,0.01454,sell
1780952847.953,63686.46,0.39224,sell
1780952847.953,63686.45,9e-05,sell
1780952847.956,63686.43,0.00025,sell
1780952848.015,63685.16,0.00072,sell
1780952848.015,63685.15,9e-05,sell
1780952848.015,63684.82,0.00027,sell
1780952848.017,63684.81,0.29513,sell
1780952848.018,63684.81,0.10416,sell
1780952848.018,63684.81,0.00024,sell
1780952848.018,63684.8,9e-05,sell
1780952848.063,63683.68,0.00064,sell
1780952848.063,63683.67,9e-05,sell
1780952848.063,63682.98,0.00016,sell
1780952848.063,63682.08,8e-05,sell
1780952848.063,63680.84,0.00012,sell
1780952848.063,63679.89,0.00016,sell
1780952848.063,63679.7,9e-05,sell
1780952848.063,63679.44,0.00419,sell
1780952848.063,63679.0,8e-05,sell
1780952848.063,63678.35,0.00027,sell
1780952848.255,63678.34,0.00559,sell
1780952848.68,63678.35,0.00313,buy
1780952848.68,63678.35,0.00313,buy
1780952848.68,63678.35,0.00194,buy
1780952848.731,63678.35,0.00626,buy
1780952848.731,63678.35,0.00626,buy
1780952848.733,63678.35,0.00062,buy
1780952848.734,63678.35,0.00064,buy
1780952848.962,63678.35,0.00029,buy
1780952848.994,63678.34,0.02,sell
1780952849.343,63678.35,0.00141,buy
1780952849.38,63678.34,0.00086,sell
1780952850.217,63678.34,0.00836,sell
1780952850.504,63678.34,0.0003,sell
1780952850.852,63678.34,0.0061,sell
1780952851.04,63678.34,0.21965,sell
1780952851.088,63678.34,0.0001,sell
1780952851.104,63678.35,0.04013,buy
1780952851.107,63678.34,0.1668,sell
1780952851.107,63678.33,0.14097,sell
1780952851.107,63678.32,0.00016,sell
1780952851.107,63678.31,0.00027,sell
1780952851.107,63678.3,0.05041,sell
1780952851.107,63678.28,0.00027,sell
1780952851.107,63678.27,0.14762,sell
1780952851.107,63678.26,0.00027,sell
1780952851.107,63678.25,0.05041,sell
1780952851.109,63678.01,0.00043,sell
1780952851.109,63678.0,0.09825,sell
1780952851.109,63677.98,9e-05,sell
1780952851.158,63677.78,0.00022,sell
1780952851.177,63677.79,0.00018,buy
1780952851.21,63677.78,0.00121,sell
1780952851.213,63677.77,0.0001,sell
1780952851.213,63677.77,0.11681,sell
1780952851.213,63677.77,0.0001,sell
1780952851.213,63677.77,0.0001,sell
1780952851.213,63677.77,0.10639,sell
1780952851.213,63677.76,0.00036,sell
1780952851.213,63677.56,9e-05,sell
1780952851.216,63676.88,0.11842,sell
1780952851.217,63676.88,0.10452,sell
1780952851.218,63676.88,0.01532,sell
1780952851.218,63676.87,0.00063,sell
1780952851.311,63676.01,0.00186,sell
1780952851.38,63676.0,0.00061,sell
1780952851.586,63676.01,0.08785,buy
1780952851.664,63676.0,0.0447,sell
1780952851.664,63675.99,0.00081,sell
1780952851.664,63675.94,0.00027,sell
1780952851.664,63675.93,0.0736,sell
1780952851.667,63675.93,0.28413,sell
1780952851.72,63675.94,0.05,buy
1780952852.241,63675.94,0.0001,buy
1780952852.379,63675.93,0.05496,sell
1780952852.403,63675.93,0.00173,buy
1780952852.469,63675.92,0.00042,sell
1780952852.551,63675.92,0.0397,sell
1780952852.675,63675.93,0.0082,buy
1780952852.793,63675.93,0.00222,buy
1780952852.932,63675.93,0.00011,buy
1780952853.142,63675.93,0.00079,buy
1780952854.043,63675.92,0.05158,sell
1780952854.043,63675.92,0.00118,sell
1780952854.043,63675.91,0.00097,sell
1780952854.043,63675.67,0.00027,sell
1780952854.043,63675.66,0.03697,sell
1780952854.044,63674.01,0.00027,sell
1780952854.044,63674.0,0.00736,sell
1780952854.044,63674.0,0.01773,sell
1780952854.045,63673.74,0.00041,sell
1780952854.045,63673.47,0.00016,sell
1780952854.045,63672.84,8e-05,sell
1780952854.045,63672.77,0.00701,sell
1780952854.045,63672.38,0.00016,sell
1780952854.045,63672.23,0.00152,sell
1780952854.045,63672.01,0.00027,sell
1780952854.045,63672.0,0.01039,sell
1780952854.063,63672.0,9e-05,sell
1780952854.587,63672.0,0.01788,sell
1780952854.587,63671.99,0.00081,sell
1780952854.587,63671.83,9e-05,sell
1780952854.587,63671.48,0.00016,sell
1780952854.587,63671.42,0.00043,sell
1780952855.759,63671.42,0.0157,buy
1780952856.344,63671.41,0.00719,sell
1780952856.502,63671.41,0.00062,sell
1780952856.586,63671.42,0.09192,buy
1780952858.137,63671.41,0.0001,sell
1780952858.58,63671.42,0.08574,buy
1780952858.581,63671.42,0.018,buy
1780952858.581,63671.42,0.06972,buy
1780952858.582,63671.42,0.0828,buy
1780952858.585,63671.42,0.11791,buy
1780952858.586,63671.42,0.02621,buy
1780952858.587,63671.42,0.01831,buy
1780952858.587,63671.42,0.2732,buy
1780952858.589,63671.42,0.02785,buy
1780952858.589,63671.42,0.00535,buy
1780952858.589,63671.42,0.01831,buy
1780952858.592,63671.42,0.0084,buy
1780952858.592,63671.43,0.00067,buy
1780952858.592,63671.44,0.00016,buy
1780952858.592,63671.48,0.00027,buy
1780952858.592,63671.49,0.0005,buy
1780952858.592,63671.99,0.00383,buy
1780952858.592,63672.0,0.00045,buy
1780952858.592,63672.01,0.00713,buy
1780952858.598,63672.01,0.00034,buy
1780952858.598,63672.04,0.00501,buy
1780952858.6,63672.04,0.0107,buy
1780952858.605,63672.04,0.00034,buy
1780952858.633,63672.21,0.00181,buy
1780952858.633,63672.22,0.00072,buy
