timestamp,price,amount,side
1780946976.777,0.02656,0.2746,buy
1780946992.201,0.02656,0.012,buy
1780947022.272,0.02657,0.069,buy
1780947022.413,0.02657,0.008,buy
1780947045.305,0.02656,0.0088,sell
1780947068.854,0.02657,0.1676,buy
1780947068.961,0.02657,0.008,buy
1780947086.277,0.02657,0.008,buy
1780947086.764,0.02658,0.0072,buy
1780947125.499,0.02658,0.7,buy
1780947125.51,0.02658,4.0204,buy
1780947132.903,0.02658,0.0174,buy
1780947132.908,0.02658,0.0086,buy
1780947132.915,0.02658,0.008,buy
1780947132.922,0.02658,0.4675,buy
1780947132.941,0.02658,0.008,buy
1780947133.005,0.02658,0.008,buy
1780947133.015,0.02658,0.4734,buy
1780947133.018,0.02658,0.004,buy
1780947133.018,0.02658,0.004,buy
1780947133.018,0.02658,0.004,buy
1780947133.02,0.02658,0.008,buy
1780947133.027,0.02658,0.1654,buy
1780947133.033,0.02658,1.7774,buy
1780947133.039,0.02658,0.008,buy
1780947133.043,0.02658,0.012,buy
1780947145.643,0.02658,0.8671,sell
1780947145.645,0.02658,0.024,sell
1780947156.079,0.02658,0.5125,buy
1780947156.105,0.02658,0.008,buy
1780947156.112,0.02658,0.4515,buy
1780947156.118,0.02658,0.008,buy
1780947156.125,0.02658,0.4031,buy
1780947158.719,0.02658,0.0079,buy
1780947213.217,0.02658,1.8762,buy
1780947213.217,0.02658,0.004,buy
1780947242.627,0.02659,0.092,buy
1780947260.612,0.02659,0.0089,buy
1780947348.964,0.02658,0.3008,sell
1780947358.378,0.02658,0.0265,sell
1780947379.854,0.02658,7.2898,sell
1780947382.59,0.02658,0.0298,buy
1780947382.605,0.02658,0.006,buy
1780947388.69,0.02658,0.1861,buy
1780947388.7,0.02658,0.0424,buy
1780947388.707,0.02658,0.4024,buy
1780947389.035,0.02658,0.008,buy
1780947389.036,0.02658,0.004,buy
1780947411.155,0.02659,0.3693,buy
1780947411.349,0.02659,0.0575,buy
1780947411.356,0.02659,0.1123,buy
1780947411.809,0.02659,0.008,buy
1780947411.815,0.02659,0.1844,buy
1780947411.821,0.02659,0.2944,buy
1780947428.006,0.02659,0.0446,buy
1780947472.824,0.02659,0.2814,sell
1780947494.731,0.02659,0.0375,sell
1780947508.589,0.02659,0.2875,sell
1780947512.608,0.0266,0.0581,buy
1780947525.864,0.02659,1.5794,sell
1780947531.775,0.02659,0.016,sell
1780947531.778,0.02659,0.012,sell
1780947531.782,0.02658,0.055,sell
1780947558.146,0.02659,0.0086,buy
1780947572.728,0.02659,1.3432,buy
1780947573.032,0.02659,0.008,buy
1780947573.074,0.02659,0.008,buy
1780947573.081,0.02659,0.1425,buy
1780947573.285,0.02659,0.012,buy
1780947596.175,0.0266,0.0049,buy
1780947611.458,0.02659,0.4,sell
1780947611.462,0.02659,0.434,sell
1780947611.462,0.02659,0.366,sell
1780947611.879,0.02659,0.4,sell
1780947612.638,0.02659,0.024,sell
1780947612.641,0.02659,0.024,sell
1780947624.698,0.02658,0.032,sell
1780947624.717,0.02657,0.4,sell
1780947624.821,0.02657,0.4,sell
1780947624.87,0.02657,0.032,sell
1780947624.87,0.02656,0.368,sell
1780947627.363,0.02657,0.009,buy
1780947629.938,0.02657,0.0054,buy
1780947633.185,0.02657,0.032,buy
1780947633.552,0.02657,0.008,buy
1780947633.559,0.02657,0.1641,buy
1780947636.736,0.02657,0.008,buy
1780947640.049,0.02657,0.008,buy
1780947640.056,0.02657,0.1235,buy
1780947640.161,0.02657,0.008,buy
1780947640.174,0.02657,6.4315,buy
1780947640.421,0.02657,0.008,buy
1780947640.43,0.02657,0.0086,buy
1780947640.436,0.02657,0.0086,buy
1780947640.444,0.02657,0.0086,buy
1780947640.45,0.02657,0.0086,buy
1780947643.046,0.02657,0.008,buy
1780947643.59,0.02657,0.008,buy
1780947643.597,0.02657,0.1361,buy
1780947643.848,0.02657,0.008,buy
1780947643.879,0.02657,0.008,buy
1780947643.886,0.02657,0.4113,buy
1780947643.892,0.02657,0.008,buy
1780947643.898,0.02657,0.0877,buy
1780947643.904,0.02657,0.008,buy
1780947643.91,0.02657,0.455,buy
1780947643.916,0.02657,0.0997,buy
1780947643.922,0.02657,0.3509,buy
1780947643.924,0.02657,0.012,buy
1780947654.514,0.02658,0.012,buy
1780947654.514,0.02659,0.0056,buy
1780947679.317,0.02658,0.7267,sell
1780947699.859,0.02659,1.4226,buy
1780947699.859,0.02659,0.1962,buy
1780947723.956,0.0266,0.0711,buy
1780947730.114,0.0266,0.0353,buy
1780947759.093,0.0266,0.0216,sell
1780947791.47,0.02661,0.0157,buy
1780947883.031,0.02661,0.0088,buy
1780947883.038,0.02661,0.0088,buy
1780947883.044,0.02661,0.0088,buy
1780947883.05,0.02661,0.12,buy
1780947883.056,0.02661,0.0088,buy
1780947883.06,0.02661,0.6139,buy
1780947954.594,0.02661,0.0565,sell
1780947977.604,0.0266,0.0123,sell
1780948040.738,0.0266,0.0919,sell
1780948045.646,0.0266,0.0361,buy
1780948056.502,0.02659,0.0717,sell
1780948075.043,0.0266,2.021,buy
1780948075.043,0.0266,1.3989,buy
1780948075.044,0.0266,1.1414,buy
1780948075.05,0.02661,0.4,buy
1780948075.103,0.02661,0.4,buy
1780948081.616,0.0266,1.2396,sell
1780948081.616,0.0266,0.1608,sell
1780948145.633,0.02659,0.032,sell
1780948176.144,0.02659,0.0046,buy
1780948200.084,0.02659,1.447,buy
1780948200.125,0.02659,0.0567,buy
1780948203.197,0.02659,0.034,sell
1780948211.07,0.02659,0.028,sell
1780948211.1,0.02658,0.4,sell
1780948224.46,0.02658,0.024,sell
1780948224.471,0.02658,0.016,sell
1780948290.068,0.02658,0.028,buy
1780948290.075,0.02658,0.1098,buy
1780948290.243,0.02658,0.016,buy
1780948290.574,0.02658,0.016,buy
1780948290.622,0.02658,0.016,buy
1780948290.935,0.02658,0.016,buy
1780948291.084,0.02658,0.0088,buy
